추출된 텍스트,label
본인은 모른다고 하시는데 저희 검찰청에서 이번에 주범으로 한 금융범죄 사기단을 검거하는 과정에서 발견된 다량의 대포통장에서 선생님의 통장이 확인되었습니다.,1
"지금부터 수사를 위해 통장거래내역, 카드사용 내역 확인이 필요합니다. 금융감독원 직원을 연결할테니 협조해주세요.",1
지금 본인은 피해자인지 가해자인지 사인이 불분명해요. ,1
"자꾸 모른다고 하는데, 본인 명의의 대포통장을 타인에게 금전의 대가를 받고 파신건지 확인을 해봐야 알고요.",1
"금융감독원 과장입니다. 현재 경찰, 검찰과 합동 수사중에 있으며 선생님의 무혐의를 입증하고 범인을 검거하기 위해선 본인 계좌의 통장거래내역, 카드 사용 확인이 필요합니다. 지금부터는 수사상 보안을 유지해야 합니다.",1
보실 수 없기 때문에 휴대폰 화면을 뒤집어 놓고 스피커폰으로 사건 진행하도록 하겠습니다. ,1
이미 본인 계좌는 보안상에 문제가 있기 때문에 OTP 카드에 생성되는 번호를 알려주세요.,1
제가 지금 도와드리고 있는 거예요. 본인의 무혐의를 입증하기 위해선 금융 거래 등을 알아야 합니다.,1
코로나19로 어려움에 빠져 있는 국민들을 위한 정부특별지원상품이라서 간단한 대출조건만 갖추면 가능합니다. 지금 다른 은행에서 대출받으신 거 있으세요?,1
그럼 고객님 신용등급 조회를 해야 하니 지금 보내드리는 문자에 있는 링크를 누르셔서 앱을 설치해주세요.,1
조회해보니 고객님의 기존대출건을 일부 상환하셔야합니다. 그래야 신용등급이 상향되서 연이율 2.5%로 최대 9천만원까지 대출이 가능하세요. 상환절차부터 진행하시면 됩니다.,1
내일 10시에 고객님 가게로 저희 직원이 갈테니까 현금 준비하셔서 전달하시면 됩니다.,1
고객님의 카드가 잘못 발급되어 통장에서 돈이 빠져나가고 있으니 안전한 계좌로 이체해야 합니다.,1
마트인데요. 회원님의 카드로 물건을 구매하려는 사람이 있는데 마침 경찰이 와 있으니 경찰 얘기대로 해주세요.,1
은행인데요. 혹시 통장과 도장을 맡겨 돈을 찾아오라고 하셨나요? 아니면 경찰을 불러드리겠습니다.,1
고객님의 신상정보가 도용된 카드가 부정 사용되어 연체 중입니다. 경찰에 수사 의뢰를 해드릴테니 전화가 오면 협조해 주시기 바랍니다.,1
여기는 경찰청 지능범죄수사대 입니다. 명의로 통장이 발급돼서 5천만원 돈 세탁이 된 것을 적발했습니다,1
수사과 입니다. 은행 직원이 고객의 개인 정보를 팔아 넘겨 선생님의 정보가 도용되고 있습니다. 통장에서 돈을 모두 인출하여 지정한 계좌로 송금하면 보호해 드리겠습니다.,1
금융감독원 입니다. 귀하의 정보가 유출되었는데 주위에 현금지급기가 있나요? 혹시 못 믿으시겠으면 전화 끊고 이 번호로 다시 해보세요.,1
서울 검찰청입니다. 법정 출석을 하지 않았습니다. 사건 확인이 필요하다면 성함과 주민번호를 말씀해주세요.,1
세무서 입니다. 세금이 잘못 징수되어 환급을 해드리려고 합니다. 계좌번호와 비밀번호를 알려주세요.,1
안녕하세요. 국민건강보험공단입니다. 고객님의 의료보험이 과다 청구 되었습니다. 과납된 보험료를 돌려드리겠습니다. 은행 현금지급기에서 전화주세요.,1
수취인 부재로 우편물이 반송 예정입니다. 확인하시려면 0번을 눌러주세요.,1
택배 입니다. 택배가 반송되었으니 자세한 내용을 알고 싶으시면 0번을 눌러 확인해 주세요.,1
"엄마, 나 휴대폰 고장 나서 이 번호로 연락해",1
"나 급하게 돈이 필요해, 계좌로 좀 보내줄 수 있어?",1
"아빠, 지금 사고가 나서 병원비가 필요해.",1
내가 지금 경찰서에 있는데 보석금이 필요해.,1
선입금만 하시면 대출이 바로 가능합니다.,1
특별 프로모션으로 신용 점수와 관계없이 대출이 가능합니다.,1
고객님의 카드로 해외에서 결제가 진행되었습니다.,1
미납 요금이 있으니 지금 바로 결제하셔야 합니다.,1
상품권을 구매해서 번호를 보내주시면 환급 처리가 가능합니다.,1
"현재 계좌가 정지될 예정이니, 안전 계좌로 이체해주세요.",1
본인 인증을 위해 OTP 번호를 불러주세요.,1
"고객님, 저금리 대출 상품이 나왔는데 신청해보시겠어요?",1
기존 대출을 저희가 대환 대출로 바꿔드릴 수 있습니다.,1
현재 경찰과 공조 수사 중입니다. 협조 부탁드립니다.,1
체납된 세금이 있어서 급히 납부하지 않으면 법적 조치가 진행됩니다.,1
현재 고객님의 계좌가 해킹당했습니다.,1
"검찰청 수사관인데요, 고객님의 계좌가 범죄에 연루되었습니다.",1
국세청에서 나왔습니다. 고객님의 세금 미납 건으로 연락드렸습니다.,1
여기 경찰청 사이버수사대입니다.,1
"금융감독원에서 조사 중인데, 고객님의 계좌에서 이상 거래가 발견되었습니다.",1
보이스피싱 예방 차원에서 본인 확인이 필요합니다.,1
신용등급 상향을 위해 보증금을 먼저 입금하셔야 합니다.,1
고객님의 택배가 배송 중 문제가 발생했습니다.,1
택배비 미납으로 인해 물품이 반송될 예정입니다.,1
고객님의 주문이 취소되었으니 계좌 정보를 입력해주세요.,1
고객님의 이버 계정이 해킹되었습니다. 본인 확인이 필요합니다.,1
카카오톡 인증번호를 입력하지 않으면 계정이 정지됩니다.,1
애플 아이디가 해외에서 로그인되었습니다. 본인이 맞으신가요?,1
구글에서 보안 강화를 위해 비밀번호를 재설정해야 합니다.,1
페이스북 계정이 신고되었으니 본인 확인이 필요합니다.,1
무료 이벤트에 당첨되셨습니다! 수수료만 입금하시면 경품을 받으실 수 있습니다.,1
로또 1등 예측 번호를 알려드릴 테니 가입비를 입금해주세요.,1
고객님이 참여하신 설문조사에서 1등이 당첨되었습니다.,1
해외에서 고객님의 신용카드가 사용되었습니다. 확인이 필요합니다.,1
지금 투자하시면 원금 보장이 확실한 고수익 상품을 추천해 드립니다.,1
"안녕하세요, 저는 금융감독원에서 나왔는데 고객님의 계좌에서 이상 거래가 감지되어 확인차 연락드렸습니다.",1
고객님 명의로 개설된 계좌에서 불법 자금 흐름이 발견되어 조사 중에 있습니다.,1
현재 고객님의 신분증이 도용된 정황이 있어서 추가 확인이 필요합니다.,1
본인 확인을 위해 주민등록번호와 계좌번호를 말씀해 주시면 바로 조회해 드리겠습니다.,1
지금 즉시 보안 절차를 진행하지 않으면 계좌가 정지될 수 있습니다.,1
고객님 계좌가 보이스피싱 조직의 돈세탁에 이용된 정황이 있어 검찰과 경찰이 조사 중입니다.,1
지금 당장 안전한 계좌로 자금을 옮기셔야 피해를 막을 수 있습니다.,1
"고객님의 신용등급이 잘못 반영되어 대출이 어려운 상태인데, 저희가 도와드릴 수 있습니다.",1
정부에서 제공하는 특별 대출 상품이 있는데 고객님께 해당 조건이 맞아 바로 신청 가능합니다.,1
이번 달 안에 신청하셔야만 저금리 대출 혜택을 받을 수 있습니다.,1
최근 카드 결제가 해외에서 이루어졌는데 본인이 사용한 게 맞나요?,1
본인 사용이 아닐 경우 계좌 보호를 위해 금융감독원의 지시에 따라 자산을 이전해야 합니다.,1
보이스피싱 예방을 위해 고객님의 계좌와 비밀번호를 확인하고 있습니다.,1
"저희는 검찰 수사관이며, 고객님이 현재 사기 사건에 연루된 정황이 있습니다.",1
고객님의 명의로 대포통장이 개설되었으며 이를 해결하지 않으면 법적 조치가 진행될 수 있습니다.,1
현재 수사기관에서 압수수색 영장을 발부한 상태입니다. 고객님께서는 협조해 주셔야 합니다.,1
"고객님께 발송된 문자를 확인하시고, 본인 인증을 완료해 주세요.",1
불법 자금 거래를 방지하기 위해서는 안전 계좌로 돈을 이체해야 합니다.,1
고객님 계좌에서 대량의 현금 출금 요청이 들어왔는데 본인이 진행한 건가요?,1
저희가 알려드리는 절차를 따르지 않으면 신용점수가 하락할 수 있습니다.,1
본사 서버 점검으로 인해 고객님의 개인정보가 유출될 가능성이 있습니다.,1
현재 고객님 명의로 개통된 휴대폰이 해외에서 사용 중인데 확인 부탁드립니다.,1
지금 바로 본인 확인이 이루어지지 않으면 계좌가 자동으로 정지됩니다.,1
사기 피해 예방을 위해 검찰청에서 직접 연락드린 것입니다.,1
고객님은 정부에서 제공하는 특별 재난지원금 대상자로 선정되셨습니다.,1
세무조사 과정에서 고객님의 계좌에 이상 거래가 발견되었습니다.,1
고객님이 신고되지 않은 고액 자산을 보유하고 있어 조사가 필요합니다.,1
정부 보조금을 신청하시려면 먼저 본인 확인 절차를 거쳐야 합니다.,1
빠르게 조치를 취하지 않으면 고객님의 모든 금융 거래가 차단될 수 있습니다.,1
"본인 명의로 대출이 승인되었으며, 이를 취소하려면 즉시 연락이 필요합니다.",1
"고객님, 개인 정보 유출로 인해 고객님의 계좌가 위험에 노출되었습니다. 지금 즉시 안전 조치를 취하지 않으면 모든 예금이 인출될 수 있습니다.",1
고객님의 계좌에서 비정상적인 거래가 감지되어 긴급 조치를 위해 연락드렸습니다. 본인 확인을 위해 주민등록번호와 계좌 비밀번호를 알려주십시오.,1
안전을 위해 모든 예금을 저희가 지정한 안전 계좌로 이체해주십시오.,1
고객님의 택배가 주소 불명으로 배송되지 못하고 있습니다. 정확한 주소를 확인하기 위해 개인 정보를 입력해주십시오.,1
고객님의 카드가 해외에서 부정 사용되었습니다. 본인 확인을 위해 카드번호와 CVC 번호를 알려주십시오.,1
고객님의 개인 정보가 범죄 조직에 유출되어 위험에 처해있습니다. 안전을 위해 저희가 안내하는 대로 따라주십시오.,1
고객님의 휴대폰이 불법 스팸 발송에 사용되어 정지될 예정입니다. 정지를 막기 위해 본인 인증을 해주십시오.,1
자녀분의 등록금 납부가 확인되지 않아 연락드렸습니다. 등록금 납부를 위해 계좌 정보를 알려주십시오.,1
고객님께서 세금 환급 대상자로 선정되었습니다. 환급을 위해 계좌 정보를 알려주십시오.,1
고객님께서 민사 소송에 휘말려 현재 재판이 진행 중입니다. 자세한 내용은 저희가 보내드리는 링크를 통해 확인하십시오.,1
가족분께서 응급실에 입원하셨습니다. 긴급 수술을 위해 수술비를 입금해주십시오.,1
고객님께서 투자하신 상품의 수익금이 지급될 예정입니다. 수익금 지급을 위해 계좌 정보를 알려주십시오.,1
대출금을 받기 위해 수수료를 입금해주십시오.,1
고객님께서 이벤트에 당첨되셨습니다. 당첨금을 받기 위해 개인 정보를 입력해주십시오.,1
고객님께서 회원으로 선정되셨습니다. 회원 가입을 위해 가입비를 입금해주십시오.,1
고객님께서 투자하신 상품의 수익금이 지급될 예정입니다. 수익금 지급을 위해 계좌 정보를 알려주십시오.,1
경찰서 강력팀입니다. 지금 당신의 계좌가 범죄에 연루되어 수사 중입니다. 즉시 모든 예금을 저희가 지정한 안전 계좌로 이체하지 않으면 체포될 수 있습니다.,1
당신의 개인 정보가 불법 거래되고 있습니다. 지금 당장 저희 지시에 따르지 않으면 법적 책임을 져야 할 것입니다.,1
"당신이 연루된 사건은 매우 심각합니다. 지금 협조하지 않으면 구속 수사는 물론, 언론에 당신의 이름이 공개될 수 있습니다.",1
당신의 가족이 위험에 처해있습니다. 지금 저희가 안내하는 대로 하지 않으면 가족의 안전을 보장할 수 없습니다.,1
당신의 통화 내용이 모두 녹음되고 있습니다. 지금 저희에게 협조하지 않으면 불리한 증거로 사용될 수 있습니다.,1
"당신이 거주하는 지역에서 강력 범죄가 발생했습니다. 당신이 용의자로 지목되었으니, 즉시 경찰서로 출석하십시오.",1
당신의 SNS 계정이 해킹되어 불법적인 내용이 게시되었습니다. 지금 당장 저희에게 협조하지 않으면 법적 책임을 져야 할 것입니다.,1
당신의 차량이 범죄에 사용되었습니다. 지금 당장 저희 지시에 따르지 않으면 차량을 압수하고 당신을 체포할 것입니다.,1
당신의 가족이 교통사고를 당했습니다. 지금 당장 병원으로 오지 않으면 가족을 잃을 수도 있습니다.,1
당신의 자녀가 학교 폭력에 연루되었습니다. 지금 당장 학교로 오지 않으면 자녀가 퇴학당할 수도 있습니다.,1
나 지금 너무 위험해. 빨리 돈을 보내주지 않으면 큰일 날 것 같아.,1
나 지금 빚 때문에 너무 힘들어. 빨리 돈을 빌려주지 않으면 큰일 날 것 같아.,1
나 지금 급하게 돈이 필요해. 빨리 보내주지 않으면 정말 힘들어져.,1
"여보, 나 지금 너무 무서워. 빨리 돈을 보내주지 않으면 무슨 일이 생길지 몰라.",1
나 지금 납치당했어. 빨리 돈을 보내주지 않으면 나를 죽일지도 몰라.,1
나 지금 병원에 입원했는데 수술비가 부족해. 빨리 돈을 보내주지 않으면 위험해.,1
나 지금 사업이 망해서 너무 힘들어. 빨리 돈을 빌려주지 않으면 파산할 수도 있어.,1
나 지금 도박 빚 때문에 너무 힘들어. 빨리 돈을 빌려주지 않으면 협박당할 수도 있어.,1
"고객님, 고객님의 계좌 정보가 유출되어 위험에 처해있습니다. 안전을 위해 저희가 안내하는 대로 따라주십시오.",1
고객님의 계좌가 지급 정지될 예정입니다. 지급 정지를 막기 위해 본인 인증을 해주십시오.,1
고객님께서 예금 만기 환급 대상자로 선정되었습니다. 환급을 위해 계좌 정보를 알려주십시오.,1
고객님의 계좌가 범죄에 사용되었을 가능성이 있습니다. 지금 즉시 저희 지시에 따르지 않으면 법적 책임을 져야 할 것입니다.,1
고객님의 계좌가 악성 코드에 감염되었습니다. 지금 즉시 모든 예금을 저희가 지정한 안전 계좌로 이체하지 않으면 모든 예금이 인출될 수 있습니다.,1
고객님께서 긴급 대출 대상자로 선정되었습니다. 대출을 받으시려면 지금 바로 저희가 안내하는 계좌로 수수료를 입금하십시오.,1
고객님께서 정부 지원 대출 대상자로 선정되었습니다. 대출을 받으시려면 지금 바로 저희가 안내하는 링크를 통해 개인 정보를 입력하십시오.,1
고객님께서 VIP 고객으로 선정되셨습니다. VIP 혜택을 받으시려면 지금 바로 저희가 안내하는 계좌로 가입비를 입금하십시오.,1
국세청입니다. 체납 세금이 있으니 즉시 계좌로 납부해주시기 바랍니다.,1
보건복지부에서 안내드립니다. 코로나 지원금 신청 대상자로 선정되었습니다. 링크를 클릭하세요.,1
귀하는 국가기관의 조사를 받고 있습니다. 본인 확인을 위해 개인정보를 입력해 주세요.,1
검찰청에서 연락드립니다. 현재 고객님께 관련된 사건이 진행 중이니 즉시 확인 바랍니다.,1
법원 출석 명령이 발송되었습니다. 사건 번호 확인을 위해 본인 인증을 진행해 주세요.,1
서울지방법원에서 연락드립니다. 출석 일정을 조정하려면 상담원과 연결해 주세요.,1
고객님 명의로 법적 분쟁이 발생하여 소환장이 발급되었습니다. 링크에서 확인 바랍니다.,1
정부지원 서민대출이 가능해졌습니다. 신용 등급과 상관없이 저금리로 즉시 신청하세요,1
고객님께만 제공되는 특별 대출 혜택! 기존 대출을 1% 금리로 전환 가능합니다.,1
"은행 특별 프로모션! 당일 승인, 무서류, 무방문 대출을 지금 바로 이용하세요.",1
대출 한도가 상향 조정되었습니다. 기존보다 더 많은 금액을 낮은 금리로 이용할 수 있습니다.,1
증거 자료로 채택이 돼서 피해자 입증에 유리하게 작용될 수 있습니다.,1
그럼 우선 녹취 전에 몇 가지 주의사항 먼저 말씀드리겠습니다.,1
목소리 외 잡음이나 제3자의 목소리가 개입되면 안 되고요 본 사건이 종결되기 전까지 제3자에게 사건 내용 발설하시면 안됩니다.,1
알고 계신 사실에 대해서 은닉 또는 허위 진술을 해서도 안되고요.,1
이 사건에 대해 전혀 관여된 바가 없고 피해자이시라면 있는 그대로 거짓 없이 사실 그대로만 진술하시면 됩니다.,1
지금 비대면으로 진행하는 수사 과정에 있어서 본 검사는 절대로 금전을 요구하거나 개인 정보에 대한 문의하지 않을 겁니다.,1
본인이 사용하고 있는 계좌와 본인이 모르는 계좌가 추가로 더 확인됐는지 조회를 할 건데요.,1
조회하기 전에 사용하시는 계좌에 대해서는 우선적으로 계좌가 도용되지 않도록 안전하게 자산보호 설정 한 이후에 조회를 하게 됩니다.,1
"자산 보호 설정이라는 것은 이 시간 이후로 본인도 모르게 금융 자산이 피해를 입게 될 경우, 정부에서 그 피해를 보상해 주거나 또는 본인 명의가 도용돼서 타인에게 피해를 끼친 부분에 대해서는 해당 사항이 없음을 인정해주는 절차를 말합니다.",1
잘 모르시고 확인되지 않은 게좌에 대해서는 동결 처리 시킬 겁니다. 동의하십니까?,1
공범이 검거되지 않은 상태에서 추가로 명의를 도용해서 범죄를 저지를 수 있기 때문에 또 다른 피해를 미연에 방지하고자 하는 조치입니다.,1
현재 사용하시는 금융권에 대한 상호 진술 먼저 받겠습니다.,1
현재 거래하고 있는 은행에 대해 빠짐없이 진술해 주시기 바랍니다.,1
계좌번호나 비밀번호는 이야기할 필요 없습니다.,1
자산 보호 설정은 담당 검사님께서 확인해주실 겁니다. 그럼 전화 잘 받아주시고 협조 잘 부탁드립니다.,1
서울중앙지검 지능 범죄 수사 1팀 검사입니다.,1
일단 저희가 현 시간부로 본인 앞으로 금융권 전수조사를 할 건데 이걸 하는 이유는 본인 재산권 보호를 하기 위해서고요.,1
또한 불법 자금이 오고 갔는지 알아보기 위한 조사입니다.,1
혹시라도 진술하신 통장 외에 다른 통장이 나올 시 저희가 불법 대포 통장으로 간주해 동결 처리가 될 겁니다. 이해되십니까?,1
그런 부분은 저희가 담당 검사님이 계시니까요 앞으로 다 확인시켜드릴 수 있는 부분이시고요,1
"그리고 저희 사법기관에서는 유선상으로 본인이 계좌번호, 주민번호 같은 것들을 절대 말씀하시면 안 되십니다.",1
아무리 사법기관이라도 개인 정보에 대해 여쭤볼 권한 없습니다.,1
"자 그럼 실질적으로 사용 중인 은행권, 간단히 진술 받겠는데 피해자 입증 조사는 전반적으로 저희 지검에서 녹취 상태로 진행할 겁니다.",1
"녹취 내용은 본인 진술 토대로 공판 때, 본인 앞으로 피해자 입증 증거 자료로 채택이 될 거고요",1
"진술하실 때 아시는 내용만 사실 그대로 진술해 주시면 되겠고 혹시 뭐 주의하실 점은 녹취하는 과정에서 만 19세 이상, 제3자의 목소리나 소음이 들리시면 증거 자료 채택이 어렵다 보니깐요",1
최대한 조용한 공간에서 녹취 부탁드리겠는데 실례지만 자택이십니까?,1
사이트에 고가의 물품을 싸게 판매한다고 허위 판매글을 올리고 돈만 입금 받고 물품을 안 보내는 금융 범죄 사기를 저질렀습니다.,1
일명 먹튀 사건이라고 이해하시면 되겠고요,1
그 과정에서 본인 명의의 차명 계좌가 사용되었고 전산상으로 차명계좌로 인해 범죄를 저지른 이 사건에 대해서 본인이 개인정보 유출로 인한 명의 도용 당하신 피해자인지 이 부분에 대해 저희가 조사 진행 중에 있는 사건이십니다.,1
혹시 본인 맞으신가요?,1
"지금 연락드린 곳은요, 저희는 대검찰청 특수부에서 연락을 드렸어요.",1
년 월 생 맞으세요?,1
지금 연락드린 사람은요 저는 사무관이라고 하고요,1
성매매 특별법 위반 및 불법 자금 은닉 건으로 참고인 조사차 연락을 드리게 되었어요.,1
지금 혹시 통화 좀 가능하실까요? 아 그럼 출석요구서 보내드릴 테니깐요 확인하시고 출석 좀 한 번 해주세요.,1
고객님 담당자고요 지금 통화 가능하신가요?,1
지금 진행 결과 나오셨고요 현재 생각보다 그 이상으로 작업은 너무 잘 되셨어요.,1
한도는 최대 천만원까지 나오셨고요 금리는 퍼센트 % 나오셨어요.,1
그리고 상환기간은 최장 년까지 가능하시니까 상환기간이랑 결제일을 며칠로 할지 계약체결 전에 제가 다시 전화 드릴 건데 그때까지만 생각하시면 되시고요.,1
한도랑 금리 듣고 약간 놀라실 수 있는데 원래 이 상품 자체가 작업을 한다 해도 우량직군 대상으로만 진행되는 상품이예요.,1
상품이 편법 전산 작업 대출이요.,1
그런데 저희 지점장님이 승인해 주셔서 강제 승인권으로 입금까지 다 가능하시고 계약 체결만 하고 입금 받으시면 되시는데 아시겠지만 원래 고객님 신용도로는 대출 자체가 아예 안 나오셨잖아요.,1
저희가 전산 작업으로 갑자기 신용도를 상승시켰기 때문에 저희가 고객님 통장에 입금 처리해드려도 금감원이나 아니면 은행연합회 쪽에서 감사가 나와서요.,1
확인해보니까 연체 이력 좀 많으셨고 지금 가장 중요한 DSR 초과에 조회 건수 많았는데 어떻게 삭제되면서 입금이 된거냐.,1
작업한 거 맞지 않냐고 추심이 나온단 말이에요.,1
그러니까 고객님 지인분 계좌로 입금해 드리고 그 다음에 고객님께서 이체를 받아서 사용하라는 내용으로 요청이 내려왔어요.,1
지인분이 단순히 입금만 받아주시는 거니까 알아보시고 연락을 주시고요,1
혹시나 오해하실까봐 제가 미리 말씀을 드리는데 지인분이 보증이나 뭐 참고인이 아니에요.,1
아실수도 있겠지만 보증인 참고인은 저희 나라에서 아예 전면 폐지가 됐고요 그렇다고 지인분이 채무를 대신하거나 아니면 지인분 신용에 문제라거나 그런 건 전혀 없으시고요.,1
말 그대로 입금만 받아 주시는 거예요.,1
뭐 당연한 게 지인분은 서류 보내는 거 당연히 단 하나도 없으시고요.,1
"괜히 아시겠지만 도움만 주시는 건데 예를 들어 편법이다, 작업이다, 비용이 든다 이런 말들은 당연히 불안해하실거니까 절대로 말씀하지 말아주시고요",1
그래서 간단하게 지금 내 앞으로 원래 한도는 다 나와 있는데 내가 지금 지급정지가 걸려있어서 금융사 이름으로 들어오는 돈은 내가 받지를 못하는 상황인데 내가 잘 아는 대출 담당자한테 부탁한 거다,1
문제 없으니까 입금만 받아 달라 말씀해 주시고요,1
아니면 더욱 더 간단하게 내가 이렇게 작년에 진행해서 이런 식으로 대출받아 봤고 너한테 피해 없고 문제 없으니까 부탁하는거다.,1
이런 식으로 확고하게 말씀만 잘 해주시고요,1
그리고 마지막으로 나이 제한만 있는데요 만 세 미만이거나 만 세 넘으신 분들은 금융사 자체에서 입금이 들어갈 수 없어요,1
본인 확인차 지인분 이름이랑 전화번호랑 계좌번호랑 주민번호 이렇게 문자 주시고요,1
문자 주시면 제가 통화를 할 거예요,1
저희도 지인분 계좌가 맞는지 간단히만 확인하고 입금을 해야 되잖아요,1
"단순히 지인분 본인 계좌가 맞는지 그리고 입금만 받아 주는 거 동의하신 건지 딱 2가지만 여쭤보고요 계좌, 본인 확인만 하고 전화 바로 끊을거예요.",1
혹시나 고객님 대출인데 내 주민 번호가 왜 들어가냐고 물어볼 수가 있잖아요?,1
지인분께서 고객님께 자금 전달이 안 될 수도 있고요 실제 그런 사고 사례가 있어요.,1
중요한 건 나중에 아시겠지만 입금 처리해 드리는 게 절대로 개인 돈이 아니라 금융사 자금이란 말이에요.,1
대출이다 보니까 좀 꺼려할 수 있잖아요.,1
